id,marginal
1434,0.000147031
1435,0.00012099
1436,9.50E-05
1437,7.11E-05
1438,5.06E-05
1439,3.44E-05
1440,2.22E-05
1441,1.37E-05
1442,7.99E-06
1443,4.45E-06
1444,2.36E-06
1445,1.19E-06
1446,5.74E-07
1447,2.64E-07
1448,1.16E-07
1449,4.85E-08
1450,5.28E-12
1451,1.82E-11
1452,5.98E-11
1453,1.87E-10
1454,5.58E-10
1455,1.58E-09
1456,4.28E-09
1457,1.10E-08
1458,2.69E-08
1459,6.25E-08
1460,1.38E-07
1461,2.91E-07
1462,5.84E-07
1463,1.11E-06
1464,2.02E-06
1465,3.50E-06
1466,5.75E-06
1467,9.02E-06
1468,1.35E-05
1469,1.92E-05
1470,2.62E-05
1471,3.41E-05
1472,4.27E-05
1473,5.14E-05
1474,5.99E-05
1475,6.80E-05
1476,7.59E-05
1477,8.43E-05
1478,9.37E-05
1479,0.000105193
1480,0.000119244
1481,0.00013596
1482,0.000154726
1483,0.000174224
1484,0.000192628
1485,0.000207969
1486,0.000218587
1487,0.000223533
1488,0.000222825
1489,0.000217459
1490,0.000209203
1491,0.000200215
1492,0.000192589
1493,0.000187927
1494,0.00018701
1495,0.000189623
1496,0.000194567
1497,0.000199869
1498,0.000203177
1499,0.000202274
1500,0.000195581
1501,0.000182534
1502,0.000163708
1503,0.000140656
1504,0.000115527
1505,9.06E-05
1506,6.77E-05
1507,4.82E-05
1508,3.27E-05
1509,2.12E-05
1510,1.30E-05
1511,7.63E-06
1512,4.25E-06
1513,2.26E-06
1514,1.14E-06
1515,5.53E-07
1516,2.55E-07
1517,1.13E-07
1518,4.78E-08
1519,6.40E-12
1520,2.20E-11
1521,7.20E-11
